scrape_date,scraped_at,hotel_id,name,url,city,country,address,distance_from_center,latitude,longitude,price_per_night_vnd,original_price_vnd,discount_pct,currency,taxes_included,taxes_fees_text,rating_score,rating_label,review_count,review_categories,property_type,star_rating,availability_status,rooms_left,room_types,checkin_time,checkout_time,languages,description,facilities_popular,facilities_all,amenities,badges,images
2026-04-16,2026-04-16T14:08:12.836610,khach-san-homestay-canary-bao,Khách Sạn - Homestay Canary Bảo,https://www.booking.com/hotel/vn/khach-san-homestay-canary-bao.html,Phan Thiet,Vietnam,"455B Thủ Khoa Huân, Phan Thiet, Vietnam",2.6 km from downtown,10.933996,108.123642,975610.0,1876173.0,48.0,VND,True,Includes taxes and fees,7.7,Good,37,"{""staff"": 8.4, ""facilities"": 8.2, ""cleanliness"": 7.9, ""comfort"": 7.9, ""value"": 8.4, ""location"": 7.8}",,3,available,,[],,,[],"Comfortable Accommodations: Khách Sạn - Homestay Canary Bảo in Phan Thiet offers family rooms with air-conditioning, private bathrooms, and sea views. Each room includes a work desk, TV, and free WiFi.

Exceptional Facilities: Guests can relax on the sun terrace or in the garden. The hotel provides free WiFi, a lounge, and a shared kitchen. Additional amenities include a balcony, terrace, and outdoor seating area.

Convenient Location: Doi Duong Beach is a 7-minute walk away, Sea Link Golf Course 0.7 mi, and Binh Thuan Post Office 1.2 mi from the property. Lien Khuong Airport is 86 mi distant.","[""Airport shuttle"", ""Non-smoking rooms"", ""Free Wifi"", ""Room service"", ""Free parking"", ""Family rooms""]",{},"[""airport_shuttle"", ""free_wifi"", ""free_parking"", ""limited_time_deal"", ""family_rooms"", ""non-smoking_rooms"", ""room_service""]",[],"[""https://cf.bstatic.com/xdata/images/hotel/square240/523055489.webp?k=f286615995ea3232b4fa11d85b12fd1f753ab0cf65c73ac56adafb3d284e4a86&o=""]"
2026-04-16,2026-04-16T14:08:13.052929,costamigo-phan-thiet,Amigo Sol Phan Thiet,https://www.booking.com/hotel/vn/costamigo-phan-thiet.html,Phan Thiet,Vietnam,"Costamigo Phan Thiết, 800000 Phan Thiet, Vietnam",19.6 km from downtown,10.77506517312518,108.02065013914795,2340000.0,4680000.0,50.0,VND,True,Includes taxes and fees,9.7,Exceptional,10,"{""staff"": 9.8, ""facilities"": 9.7, ""cleanliness"": 10.0, ""comfort"": 9.8, ""value"": 9.0, ""location"": 9.0}",,4,available,,[],,,[],"Beachfront and Private Beach Area: Amigo Sol Phan Thiet in Phan Thiet offers a private beach area and direct beachfront access. Guests can relax on the year-round outdoor swimming pool or enjoy the lush garden.

Comfortable Accommodations: Rooms feature air-conditioning, private bathrooms, garden views, and modern amenities such as free WiFi, mini-bar, and soundproofing. Family rooms and balconies provide additional comfort.

Dining Experience: The family-friendly restaurant serves Asian breakfast, lunch, and dinner in a modern and romantic ambiance. Additional facilities include a bar, elevator, and free on-site parking.

Nearby Attractions: Thuan Quy Beach is just a few steps away, while Ke Ga Lighthouse lies 6.2 mi from the resort. Other attractions include Phan Thiet Train Station (14 mi) and Binh Thuan Bus Station (14 mi).","[""Outdoor swimming pool"", ""Non-smoking rooms"", ""Beachfront"", ""Free Wifi"", ""Free parking"", ""Restaurant"", ""Family rooms"", ""Bar"", ""Private beach area"", ""Breakfast""]",{},"[""free_wifi"", ""breakfast"", ""private_beach_area"", ""free_parking"", ""family_rooms"", ""non-smoking_rooms"", ""free_breakfast"", ""bar"", ""beachfront"", ""restaurant"", ""outdoor_swimming_pool""]","[""Breakfast included""]","[""https://cf.bstatic.com/xdata/images/hotel/square240/841901909.webp?k=f2afb7f0c986446fef2620dc480828e2e98336fe95cfe9e7d9c47ba4c4e95340&o=""]"
2026-04-16,2026-04-16T14:08:13.204787,sea-home-thanh-pho-phan-thiet,Sea Home - Sea Night,https://www.booking.com/hotel/vn/sea-home-thanh-pho-phan-thiet.html,Phan Thiet,Vietnam,"Công viên Lộc Vừng C6-07 Khu Đô Thị Phố Biển, 77120 Phan Thiet, Vietnam",1.9 km from downtown,10.9302848,108.1171028,790000.0,,,VND,,"+VND 63,200 taxes and fees",9.2,Wonderful,18,"{""staff"": 9.1, ""facilities"": 9.2, ""cleanliness"": 9.5, ""comfort"": 9.1, ""value"": 9.1, ""location"": 9.1}",,,available,,[],,,[],"Beachfront and Free WiFi: Sea Home - Sea Night in Phan Thiet offers direct beachfront access and complimentary WiFi. Guests can relax on the sand or enjoy stunning sea views from their balconies.

Comfortable Accommodations: Rooms feature air-conditioning, walk-in showers, and private bathrooms. Additional amenities include hypoallergenic bedding, hairdryers, and free toiletries. Family rooms and room service cater to all needs.

Convenient Location: Located a 6-minute walk from Doi Duong Beach and 1969 feet from Sea Link Golf Course. Nearby attractions include Binh Thuan Post Office (12-minute walk) and Phan Thiet Train Station (1.7 mi). Lien Khuong Airport is 83 mi away.","[""Non-smoking rooms"", ""Beachfront"", ""Free Wifi"", ""Room service"", ""Free parking"", ""Family rooms""]",{},"[""free_wifi"", ""free_parking"", ""family_rooms"", ""non-smoking_rooms"", ""beachfront"", ""room_service""]",[],"[""https://cf.bstatic.com/xdata/images/hotel/square240/705632064.webp?k=d35a427347cd70f05e3c4c37f56d276257c55f364e4da7bc96ae01921991a5f8&o=""]"
2026-04-16,2026-04-16T14:08:13.339178,bay-view-resort-amp-villas,Bay View Resort & Villas Mũi Né,https://www.booking.com/hotel/vn/bay-view-resort-amp-villas.html,Phan Thiet,Vietnam,"152 Huỳnh Thúc Kháng, 77118 Phan Thiet, Vietnam",19.4 km from downtown,10.9423546,108.2777531,2386761.0,3371400.0,29.2,VND,True,Includes taxes and fees,9.1,Wonderful,72,"{""staff"": 9.6, ""facilities"": 9.5, ""cleanliness"": 9.1, ""comfort"": 9.4, ""value"": 9.2, ""location"": 9.0, ""wifi"": 10.0}",,3,available,,[],,,[],"Beachfront Location: Bay View Resort & Villas Mũi Né in Phan Thiet offers direct beachfront access with stunning sea views. Guests can relax by the infinity swimming pool or sun terrace, while the lush garden provides a tranquil setting.

Comfortable Accommodations: Rooms feature air-conditioning, private balconies, and modern amenities such as free WiFi, flat-screen TVs, and mini-bars. Family rooms and kitchenettes cater to all travelers, ensuring a comfortable stay.

Dining Experience: The family-friendly restaurant serves Vietnamese and local cuisines in a traditional and modern ambiance. Breakfast includes warm dishes, fresh pastries, and a variety of beverages. Additional facilities include a bar and coffee shop.

Nearby Attractions: Ham Tien Beach is just a few steps away, while Mui Ne Market lies 1.1 mi from the hotel. Other points of interest include Fairy Spring (1.7 mi) and Red Sand Dunes (2 mi). Lien Khuong Airport is 78 mi distant.","[""Outdoor swimming pool"", ""Airport shuttle"", ""Non-smoking rooms"", ""Beachfront"", ""Free Wifi"", ""Room service"", ""Free parking"", ""Restaurant"", ""Bar"", ""Breakfast""]",{},"[""airport_shuttle"", ""free_wifi"", ""breakfast"", ""free_parking"", ""non-smoking_rooms"", ""free_breakfast"", ""bar"", ""beachfront"", ""room_service"", ""restaurant"", ""outdoor_swimming_pool""]","[""Breakfast included""]","[""https://cf.bstatic.com/xdata/images/hotel/square240/789333686.webp?k=8d37e5ba92f5af99a6d3de8c86373237d7a1b3e5c6a24b025226d7a4cae45445&o=""]"
2026-04-16,2026-04-16T14:08:13.485749,khach-san-ha-thanh-phan-thiao-t,Hà Thành Hotel,https://www.booking.com/hotel/vn/khach-san-ha-thanh-phan-thiao-t.html,Phan Thiet,Vietnam,"133/01 Lê Lợi, Phan Thiet, Vietnam",1.7 km from downtown,10.9215678,108.1104189,800000.0,,,VND,True,Includes taxes and fees,9.2,Wonderful,123,"{""staff"": 9.6, ""facilities"": 9.0, ""cleanliness"": 9.4, ""comfort"": 9.2, ""value"": 9.2, ""location"": 9.2, ""wifi"": 8.8}",,,available,,[],,,[],"Comfortable Accommodations: Hà Thành Hotel in Phan Thiet offers family rooms with private bathrooms. Guests enjoy free WiFi, a garden, and a terrace.

Convenient Facilities: The hotel provides a 24-hour front desk, private check-in and check-out, a minimarket, daily housekeeping, and room service. Additional amenities include a hairdresser, bicycle parking, and express check-in and check-out.

Prime Location: Located a few steps from Doi Duong Beach, the hotel is near Sea Link Golf Course (16-minute walk) and Phan Thiet Train Station (1.2 mi). Lien Khuong Airport is 84 mi away.

Guest Highlights: Guests appreciate the beach access, friendly host, and convenient location.","[""Non-smoking rooms"", ""Free Wifi"", ""Room service"", ""Family rooms""]",{},"[""free_wifi"", ""no_prepayment"", ""family_rooms"", ""non-smoking_rooms"", ""room_service""]","[""No prepayment needed – pay at the property""]","[""https://cf.bstatic.com/xdata/images/hotel/square240/554697058.webp?k=a72e0c23ad46d236b7096ec33c8fc13071b7758576c6addf5b24d311065c9a9c&o=""]"
2026-04-16,2026-04-16T14:08:13.615606,radisson-resort-phan-thiet,Radisson Resort Phan Thiet,https://www.booking.com/hotel/vn/radisson-resort-phan-thiet.html,Phan Thiet,Vietnam,"TIEN HAO HAMLET, TIEN THANH COMMUNE, 800000 Phan Thiet, Vietnam",11.6 km from downtown,10.8456608722565,108.041727953964,4872000.0,6960000.0,30.0,VND,True,Includes taxes and fees,9.0,Wonderful,665,"{""staff"": 9.4, ""facilities"": 9.2, ""cleanliness"": 9.4, ""comfort"": 9.4, ""value"": 8.9, ""location"": 8.6, ""wifi"": 8.6}",,4,available,,[],,,[],"Beachfront Location: Radisson Resort Phan Thiet in Phan Thiet offers a private beach area and direct beachfront access. Guests enjoy stunning sea views and a swimming pool with a view.

Comfortable Accommodations: Rooms feature air-conditioning, private bathrooms, and modern amenities. Additional facilities include a fitness center, spa, and free WiFi in public areas.

Dining Experience: The modern restaurant serves American, Austrian, and Asian cuisines, offering brunch, lunch, dinner, high tea, and cocktails. Breakfast includes local specialties, warm dishes, and fresh pastries.

Leisure Activities: Guests can relax by the swimming pool, enjoy film nights, and participate in activities such as yoga and fitness classes.","[""Outdoor swimming pool"", ""Airport shuttle"", ""Fitness center"", ""Non-smoking rooms"", ""Spa"", ""Beachfront"", ""Bar"", ""Private beach area"", ""Breakfast"", ""Free crib available on request""]",{},"[""fitness_center"", ""airport_shuttle"", ""free_crib_available_on_request"", ""breakfast"", ""private_beach_area"", ""limited_time_deal"", ""spa"", ""non-smoking_rooms"", ""free_breakfast"", ""bar"", ""beachfront"", ""outdoor_swimming_pool""]","[""Breakfast included""]","[""https://cf.bstatic.com/xdata/images/hotel/square240/596259976.webp?k=11fad0f0b6f7e08276fd1b6090e7d6925605dd1ecc4a52f52168b733666cc7d8&o=""]"
2026-04-16,2026-04-16T14:08:13.753646,lam-39-s-beach-homestay,Lam's Beach Homestay,https://www.booking.com/hotel/vn/lam-39-s-beach-homestay.html,Phan Thiet,Vietnam,"E4-55 ĐƯỜNG SỐ 6,KHU ĐÔ THỊ BIỂN PHAN THIẾT,P.PHÚ THỦY,TP.PHAN THIẾT,BÌNH THUẬN, Phan Thiet, Vietnam",2.5 km from downtown,10.932604327887033,108.12326208823013,1500000.0,,,VND,True,Includes taxes and fees,9.5,Exceptional,145,"{""staff"": 9.6, ""facilities"": 9.6, ""cleanliness"": 9.7, ""comfort"": 9.7, ""value"": 9.6, ""location"": 9.2, ""wifi"": 8.9}",,,available,,[],,,[],"Beachfront Location: Lam's Beach Homestay in Phan Thiet offers direct beachfront access and a sun terrace. Guests enjoy free WiFi throughout the aparthotel.

Comfortable Accommodations: Rooms feature air-conditioning, balconies with sea or city views, private bathrooms with walk-in showers, and modern amenities including a work desk and TV.

Convenient Facilities: The aparthotel includes a lounge, coffee shop, outdoor seating area, family rooms, and bicycle parking. Free on-site parking is available.

Nearby Attractions: Doi Duong Beach is a 5-minute walk away, Sea Link Golf Course less than 0.6 mi, and Binh Thuan Post Office 1.1 mi from the property. Lien Khuong Airport is 86 mi distant.","[""Non-smoking rooms"", ""Beachfront"", ""Free Wifi"", ""Free parking"", ""Family rooms""]",{},"[""free_wifi"", ""family_rooms"", ""free_parking"", ""non-smoking_rooms"", ""beachfront""]",[],"[""https://cf.bstatic.com/xdata/images/hotel/square240/536757591.webp?k=c6ca83af897b9df5e0c5e0d41f1fbc3ce8f53ea3ada6fb308786007a68536dbc&o=""]"
2026-04-16,2026-04-16T14:08:13.879975,phuong-nhung-phan-thiet2,PHƯƠNG NHUNG HOTEL,https://www.booking.com/hotel/vn/phuong-nhung-phan-thiet2.html,Phan Thiet,Vietnam,"283C Nguyễn Đình Chiểu, Phan Thiet, Vietnam",15.6 km from downtown,10.955592,108.240787,882000.0,,,VND,True,Includes taxes and fees,7.0,Good,35,"{""staff"": 8.4, ""facilities"": 7.8, ""cleanliness"": 7.8, ""comfort"": 8.4, ""value"": 7.9, ""location"": 8.0}",,,available,,[],,,[],"Comfortable Accommodations: PHƯƠNG NHUNG HOTEL in Phan Thiet offers family rooms with air-conditioning, TV, and electric kettle. Free WiFi is available throughout the property.

Leisure Facilities: Guests can relax on the sun terrace, enjoy the garden, and swim in the year-round outdoor pool. Additional amenities include a kids' pool, outdoor seating area, and barbecue facilities.

Convenient Services: The hotel provides a paid shuttle service, lounge, public bath, 24-hour front desk, shared kitchen, daily housekeeping, and full-day security. Free on-site private parking is available.

Local Attractions: Ham Tien Beach is a 7-minute walk away, Fairy Spring 1.2 mi, Rang Market 6-minute walk, Rang Church less than 0.6 mi. Nearby attractions include Long Beach Pearl Museum 1.9 mi and Mui Ne Market 3.7 mi. Lien Khuong Airport is 81 mi from the hotel.","[""Outdoor swimming pool"", ""Airport shuttle (free)"", ""Non-smoking rooms"", ""Free Wifi"", ""Room service"", ""Free parking"", ""Family rooms""]",{},"[""free_wifi"", ""airport_shuttle_(free)"", ""free_parking"", ""family_rooms"", ""non-smoking_rooms"", ""room_service"", ""outdoor_swimming_pool""]",[],"[""https://cf.bstatic.com/xdata/images/hotel/square240/366792079.webp?k=54022570a7fa86b53ff3223e704d927af8d2612a36cc2e5c4fdb16f1cd2cf101&o=""]"
2026-04-16,2026-04-16T14:08:14.005923,homestay-song-ngoc,Song Ngọc Hotel Phan Thiết,https://www.booking.com/hotel/vn/homestay-song-ngoc.html,Phan Thiet,Vietnam,"307/2 Thủ Khoa Huân, Phường Phú Thủy, Thành phố Phan Thiết, Bình Thuận, Phan Thiet, Vietnam",2.3 km from downtown,10.932661699675295,108.12124245957159,702283.0,,,VND,True,Includes taxes and fees,9.1,Wonderful,234,"{""staff"": 9.3, ""facilities"": 9.0, ""cleanliness"": 9.2, ""comfort"": 9.4, ""value"": 9.2, ""location"": 9.1, ""wifi"": 9.5}",,,available,,[],,,[],"Comfortable Accommodations: Song Ngọc Hotel Phan Thiết in Phan Thiết offers family rooms with air-conditioning, private bathrooms, and sea views. Each room includes a work desk, TV, and free WiFi.

Exceptional Facilities: Guests can relax on the sun terrace or in the garden, enjoy the bar, and stay connected with free WiFi in public areas. Additional amenities include a lounge, coffee shop, and outdoor seating.

Prime Location: Located less than 0.6 mi from Doi Duong Beach and near Sea Link Golf Course, the hotel is highly rated for its convenient and central location. Nearby attractions include Binh Thuan Post Office and Phan Thiet Fishing Port.

Guest Services: The property provides private check-in and check-out, a 24-hour front desk, concierge service, and free on-site parking. Guests appreciate the attentive staff and excellent service support.","[""Non-smoking rooms"", ""Free Wifi"", ""Room service"", ""Free parking"", ""Family rooms"", ""Bar""]",{},"[""free_wifi"", ""family_rooms"", ""free_parking"", ""non-smoking_rooms"", ""bar"", ""room_service""]",[],"[""https://cf.bstatic.com/xdata/images/hotel/square240/785393268.webp?k=9446ee43ed9d22f81e3fa2b235d509f2daed91d4b42fca719959e1869ee3346d&o=""]"
2026-04-16,2026-04-16T14:08:14.137347,park-diamond,TTC Hotel Phan Thiet,https://www.booking.com/hotel/vn/park-diamond.html,Phan Thiet,Vietnam,"Nguyen Tat Thanh Street, Hung Long Ward, Phan Thiet, Vietnam",1.8 km from downtown,10.92582782950924,108.11486184597015,2302498.0,3815100.0,39.6,VND,True,Includes taxes and fees,8.5,Very Good,454,"{""staff"": 9.1, ""facilities"": 8.4, ""cleanliness"": 8.8, ""comfort"": 9.0, ""value"": 8.8, ""location"": 8.8, ""wifi"": 7.9}",,4,available,,[],,,[],"Standing tall on Nguyen Tat Thanh street, TTC Hotel Phan Thiet overlooks the ocean and ancient volcanic mountains in Phan Thiet city. The hotel features an outdoor swimming, on-site restaurant and a garden. Guests can enjoy free parking on site.

With accents of purple from the fabrics and brown from the dark wood furnishings, all units enjoy free WiFi access and air conditioning. All large units feature windows offering city/sea views, a seating area and mini-bar. Private bathroom is equipped with a bathtub, free toiletries and a hairdryer.

You can fill many restaurants and shops in the surrounding. Facing Doi Duong Beach, TTC Hotel Phan Thiet is a 5-minute drive from Phan Thiet Railway Station, while Mui Ne is a 40-minute drive away.

Guests can head for a tennis game, or enjoy a rejunevating massage at the spa. Staff at the 24-hour reception can arrange water facilities upon request, such as snorkeling, windsurfing, deep-sea fishing and scuba diving. Car hire and luggage storage are available.

Oriental Restaurant features à la carte menus and serves an array of Asian and European dishes. Room service is also possible.","[""Outdoor swimming pool"", ""Fitness center"", ""Non-smoking rooms"", ""Beachfront"", ""Free Wifi"", ""Room service"", ""Free parking"", ""Restaurant"", ""Bar"", ""Good Breakfast""]",{},"[""fitness_center"", ""good_breakfast"", ""free_wifi"", ""free_parking"", ""non-smoking_rooms"", ""free_breakfast"", ""bar"", ""beachfront"", ""room_service"", ""restaurant"", ""outdoor_swimming_pool""]","[""Breakfast included""]","[""https://cf.bstatic.com/xdata/images/hotel/square240/456936519.webp?k=67b3559a31325cb1872a83cac6d7be2859829744be6c32665cebc1e1630f3803&o=""]"
2026-04-16,2026-04-16T14:08:14.280309,grand-phan-thiet-boutique,Grand Phan Thiet Hotel,https://www.booking.com/hotel/vn/grand-phan-thiet-boutique.html,Phan Thiet,Vietnam,"D2-01 KDC Phố Biển Rạng Đông, Phường Phú Thủy, TP Phan Thiết, tỉnh Bình Thuận, Phan Thiet, Vietnam",2.1 km from downtown,10.9293686161929,108.118908420977,1928579.0,4650000.0,58.5,VND,True,Includes taxes and fees,9.0,Wonderful,52,"{""staff"": 9.6, ""facilities"": 9.5, ""cleanliness"": 9.6, ""comfort"": 9.6, ""value"": 9.2, ""location"": 9.1}",,4,available,,[],,,[],"Comfortable Accommodations: Grand Phan Thiet Hotel in Phan Thiet offers family rooms with sea views, balconies, and modern amenities. Each room includes air-conditioning, a private bathroom, and free toiletries.

Dining Experience: Guests can enjoy Vietnamese cuisine at the traditional and modern restaurant, serving lunch and dinner. Breakfast options include continental and à la carte with local specialties.

Leisure Facilities: The hotel features a terrace, bar, and outdoor seating area. Additional services include a paid shuttle, lounge, elevator, 24-hour front desk, daily housekeeping, grocery delivery, and free on-site private parking.

Location and Attractions: Located 91 mi from Lien Khuong Airport, the hotel is a short walk from Doi Duong Beach and Sea Link Golf Course. Nearby attractions include Binh Thuan Post Office and Phan Thiet Train Station.","[""Non-smoking rooms"", ""Room service"", ""Free parking"", ""Restaurant"", ""Family rooms"", ""Bar"", ""Breakfast""]",{},"[""breakfast"", ""free_parking"", ""family_rooms"", ""non-smoking_rooms"", ""free_breakfast"", ""bar"", ""room_service"", ""restaurant""]","[""Breakfast included""]","[""https://cf.bstatic.com/xdata/images/hotel/square240/740330503.webp?k=3122cb52aaa65ddc8717f6bc2f429f618be535278bd1d717d6230105658f5b11&o=""]"
2026-04-16,2026-04-16T14:08:14.417616,amana-phan-thiet-thanh-pho-phan-thiet,AMANA Hotel Phan Thiet,https://www.booking.com/hotel/vn/amana-phan-thiet-thanh-pho-phan-thiet.html,Phan Thiet,Vietnam,"AMANA Hotel Phan Thiet, 77100 Phan Thiet, Vietnam",2.1 km from downtown,10.9297747,108.1188568,2367538.0,6365250.0,62.8,VND,True,Includes taxes and fees,9.1,Wonderful,24,"{""staff"": 9.6, ""facilities"": 9.3, ""cleanliness"": 9.6, ""comfort"": 9.3, ""value"": 8.7, ""location"": 9.0}",,4,available,,[],,,[],"Comfortable Accommodations: AMANA Hotel Phan Thiet in Phan Thiet offers family rooms with air-conditioning, private bathrooms, and modern amenities. Each room includes bathrobes, free toiletries, and a TV.

Dining Experience: The family-friendly restaurant serves Asian and Western cuisines with a buffet and à la carte options. Guests can enjoy lunch and dinner in a modern ambiance.

Convenient Facilities: The hotel provides free WiFi, a 24-hour front desk, and free off-site parking. Additional amenities include a yukata, electric kettle, and bath.

Nearby Attractions: Doi Duong Beach is a 4-minute walk away, Sea Link Golf Course 1312 feet nearby, and Binh Thuan Post Office 14-minute walk. Lien Khuong Airport is 91 mi from the hotel.","[""Non-smoking rooms"", ""Free Wifi"", ""Free parking"", ""Restaurant"", ""Family rooms"", ""Breakfast""]",{},"[""free_wifi"", ""breakfast"", ""free_parking"", ""family_rooms"", ""non-smoking_rooms"", ""free_breakfast"", ""restaurant""]","[""Breakfast included""]","[""https://cf.bstatic.com/xdata/images/hotel/square240/793250298.webp?k=25246534705d32ee15ca7237420be281dc1312b21e5b8f3e3ff6653f40ac8b61&o=""]"
2026-04-16,2026-04-16T14:08:14.556156,oriana-phan-thiet-homestay,Oriana Phan Thiết Homestay,https://www.booking.com/hotel/vn/oriana-phan-thiet-homestay.html,Phan Thiet,Vietnam,"224/6 Đường Đặng Văn Lãnh, 800000 Phan Thiet, Vietnam",1.9 km from downtown,10.948048438060898,108.09128916627041,1227955.0,1754221.0,30.0,VND,True,Includes taxes and fees,10.0,Exceptional,2,"{""staff"": 9.2, ""facilities"": 9.2, ""cleanliness"": 10.0, ""comfort"": 9.2, ""value"": 9.2, ""location"": 9.2}",,,available,,[],,,[],"Modern Comforts: Oriana Phan Thiết Homestay in Phan Thiet offers a recently renovated apartment with air-conditioning, a private bathroom, and garden views. Guests enjoy free WiFi, a sun terrace, and a garden.

Convenient Facilities: The property features a shared kitchen, outdoor seating area, family rooms, and bicycle parking. Additional amenities include a terrace, kitchenette, streaming services, and a dining area.

Prime Location: Located 1.2 mi from Binh Thuan Bus Station and 1.7 mi from Phan Thiet Train Station, the homestay is near attractions such as Sea Link Golf Course (3.1 mi) and Ho Chi Minh Museum (1.9 mi). Lien Khuong Airport is 89 mi away.","[""Non-smoking rooms"", ""Free Wifi"", ""Free parking"", ""Family rooms""]",{},"[""free_wifi"", ""no_prepayment"", ""family_rooms"", ""free_parking"", ""non-smoking_rooms""]","[""No prepayment needed – pay at the property""]","[""https://cf.bstatic.com/xdata/images/hotel/square240/807623739.webp?k=199c2823246be420033f3e30235b5f0e690a1be55e8f1ee106aec00180ce9386&o=""]"
